2016 World Championship,1,"2,028,000",SK Telecom T1
2016 World Championship,2,"760,500",Samsung Galaxy
2016 World Championship,3,"380,250",ROX Tigers
2016 World Championship,4,"380,250",H2k-Gaming
2016 World Championship,5,"202,800",Cloud9
2016 World Championship,6,"202,800",Royal Never Give Up
2016 World Championship,7,"202,800",EDward Gaming
2016 World Championship,8,"202,800",Albus NoX Luna
2016 World Championship,9,"114,075",Counter Logic Gaming
2016 World Championship,10,"114,075",ahq e-Sports Club
2016 World Championship,11,"114,075",Team SoloMid
2016 World Championship,12,"114,075",I May
2016 World Championship,13,"63,375",G2 Esports
2016 World Championship,14,"63,375",INTZ e-Sports
2016 World Championship,15,"63,375",Splyce
2016 World Championship,16,"63,375",Flash Wolves
2016 LPL Spring Season,1,"232,045",Royal Never Give Up
2016 LPL Spring Season,2,"123,758",EDward Gaming
2016 LPL Spring Season,3,"77,348",Team WE
2016 LPL Spring Season,4,"46,409",Qiao Gu Reapers
2016 LPL Spring Season,5,"30,939",Snake Esports
2016 LPL Spring Season,6,"30,939",Vici Gaming
2016 LPL Summer Season,1,"203,585",EDward Gaming
2016 LPL Summer Season,2,108.579,Royal Never Give Up
2016 LPL Summer Season,3,"67,862",I May
2016 LPL Summer Season,4,"40,717",Team WE
2016 LPL Summer Season,5,"27,145",Snake Esports
2016 LPL Summer Season,6,"27,145",Vici Gaming
2016 LCK Spring Season,1,"87,139",SK Telecom T1
2016 LCK Spring Season,2,"52,281",ROX Tigers
2016 LCK Spring Season,3,"26,114",KT Rolster
2016 LCK Spring Season,4,"17,406",Jin Air Green Wings
2016 LCK Spring Season,5,"13,054",Afreeca Freecs
2016 LCK Summer Season,1,"79,148",ROX Tigers
2016 LCK Summer Season,2,"47,489",KT Rolster
2016 LCK Summer Season,3,"23,744",SK Telecom T1
2016 LCK Summer Season,4,"15,830",Samsung Galaxy
2016 LCK Summer Season,5,"11,872",Afreeca Freecs
2016 NA LCS Spring Season,1,"50,000",Counter Logic Gaming
2016 NA LCS Spring Season,2,"25,000",Team SoloMid
2016 NA LCS Spring Season,3,"15,000",Immortals
2016 NA LCS Spring Season,4,"10,000",Team Liquid
2016 NA LCS Summer Season,1,"50,000",Team SoloMid
2016 NA LCS Summer Season,2,"25,000",Cloud9
2016 NA LCS Summer Season,3,"15,000",Immortals
2016 NA LCS Summer Season,4,"10,000",Counter Logic Gaming
2016 EU LCS Spring Season,2,"25,000",Origen
2016 EU LCS Spring Season,3,"15,000",Fnatic
2016 EU LCS Spring Season,4,"10,000",H2k-Gaming
2016 EU LCS Summer Season,1,"50,000",G2 Esports
2016 EU LCS Summer Season,2,"25,000",Splyce
2016 EU LCS Summer Season,3,"15,000",H2k-Gaming
2016 EU LCS Summer Season,4,"10,000",Unicorns Of Love
2016 LMS Spring Season,1,"46,206",Flash Wolves
2016 LMS Spring Season,2,"18,482",ahq e-Sports Club
2016 LMS Spring Season,3,"12,322",Machi E-Sports
2016 LMS Spring Season,4,"6,161",Taipei Assassins
2016 LMS Summer Season,1,"46,206",Flash Wolves
2016 LMS Summer Season,2,"18,482",J Team
2016 LMS Summer Season,3,"12,322",ahq e-Sports Club
2016 LMS Summer Season,4,"6,161",Hong Kong Esports
2016 GPL Spring Season,1,,Saigon Jokers
2016 GPL Spring Season,2,,Bangkok Titans
2016 GPL Spring Season,3,,imperium pro team
2016 GPL Spring Season,4,,kuala lumpur hunters
2016 GPL Spring Season,5,,team rigel
2016 GPL Spring Season,6,,kanaya gaming
2016 GPL Summer Season,1,,Saigon Jokers
2016 GPL Summer Season,2,,Bangkok titans
2016 GPL Summer Season,3,,kuala lumpur hunters
2016 GPL Summer Season,4,,vestigal
2016 GPL Summer Season,5,,acclaim empirex
2016 GPL Summer Season,6,,Kanaya gaming
2016 CBLOL Summer Season,1,"15,000",INTZ e-Sports
2016 CBLOL Summer Season,2,"8,000",Keyd Stars
