Immortals,NA,Clinton Foy,Robert Yip
Counter Logic Gaming,NA,George Georgallidis,Tony Gray
Cloud9,NA,Jack Etienne,Bok Han-gyu
Team Liquid,NA,Victor Goossens,Jang Nu-ri
NRG Esports,NA,Mark Mastrov,Tadayoshi Littleton
Team SoloMid,NA,Andy Dinh,Parth Naidu
Echo Fox,NA,Ulrich Alexander Fox,Nick Smith
Renegades,NA,Chris Badawi,David Tu
Team Impulse,NA,Lucas Wen,Jason Pan
Team Dignitas,NA,Greg Richardson,Park Jae-seok
Team EnVyUs,NA,Skyler Johnson,Kim Dong Hwan
Apex Gaming,NA,David Slan,Brandon DiMarco
Phoenix1,NA,Michael Moore,Kim Sang-chul
G2 Esports,EU,Carlos Rodriguez Santiago,Joey Steltenpool
H2k-Gaming,EU,Susan Tully,Neil Hammad
Team Vitality,EU,Nicolas Maurer,Heo Yeong-cheol
Origen,EU,Enrique Cedeno Martinez,James MacCormack
Unicorns Of Love,EU,Fabian Mallant,Fabian Mallant
Fnatic,EU,Samuel Mathews,Nicholas Korsgaard
Elements,EU,Jacob Toft-Andersen,Patrick Funke
Splyce,EU,Marty Strenczewilk,Fayan Pertijs
Team ROCCAT,EU,Tomislav Mihailov,Karim Bbahla
Giants Gaming,EU,Jose Ramon Diaz,Andre Guilhoto
FC Schalke 04,EU,Moritz Beckers-Schwarz,Michael Archer
Qiao Gu Reapers,LPL,Li Lin-Ke,Choi Myeong-won
Team WE,LPL,Zhang Wei,Lee Woo-suk
Snake Esports,LPL,Cao Yu,Chen Lin-Jun
LGD Gaming,LPL,Pan Jie,Lee Gwan-hyung
Energy Pacemaker.All,LPL,Qiu Yu-Fei,He Bin
Masters 3,LPL,Zhou Hao,Lee Hyeong-jun
Royal Never Give Up,LPL,Huang Cheng,Huang Ting-Hsiang
EDward Gaming,LPL,Chu Ai-De,Jung Min-sung
Vici Gaming,LPL,Lu Wenjun,Lee Jeong-hyeon
Invictus Gaming,LPL,Wang Si-Cong,Xiao Qiang
Oh My God,LPL,Peng Hai-Tao,Luo Sheng
Saint Gaming,LPL,Mao Xiao-Zhou,Xu Jiang-Jun
Game Talents,LPL,Lee Hyung-jun,Lee Hyung-jun
Newbee,LPL,Tong Xin,Choi Myeong-won
I May,LPL,Yu Yi,Son Dae-young
Hyper Youth Gaming,LPL,Mao Xiao-Zhou,Cui Yi
ROX Tigers,LCK,YY,Kang Hyun-jong
KT Rolster,LCK,KT,Lee Ji-hoon
SK Telecom T1,LCK,SK Telecom,Choi Byoung-hoon
Jin Air Green Wings,LCK,Jin Air,Han Sang-yong
Afreeca Freecs,LCK,Afreeca,Choi Yeon-sung
Samsung Galaxy,LCK,Samsung,Choi Woo-beom
Longzhu Gaming,LCK,Longzhu,Kang Dong-hoon
CJ Entus,LCK,CJ Corporation,Chae Woo-cheol
SBENU Sonicboom,LCK,ITENJOY,Park Jae-seok
Kongdoo Monster,LCK,Kongdoo,Jang Min-chul
e-mFire,LCK,Kongdoo,Jang Min-chul
MVP,LCK,Hot6ix,Kwon Jae-hwan
ESC Ever,LCK,esportsconnected,Kim Ga-ram
ahq e-Sports Club,LMS,Hulk Wen,Tsai Shang-Ching
Flash Wolves,LMS,Pi Ling-Li,Chen Ju-Chih
Taipei Assassins,LMS,Liu Chia-Chu,Sim Sung-soo
Machi E-Sports,LMS,Jeffrey Huang,Shu Kuan-Chih
Hong Kong Esports,LMS,Derek Cheung,Jordan Corby
Midnight Sun Esports,LMS,Ethan Liu,Alex Sung
eXtreme Gamers,LMS,Huang Tsung-Yu,Liang Chang-Wei
Cougar E-Sport,LMS,Tsang Lin Wa,Yeh Yu-Peng
J Team,LMS,Chou Chieh-Lun,Chen Kuang-Feng
Team Mist,LMS,Hu Yu-Jiang,Lin Hsin-Yu
