"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","1"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","2"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","3"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","4"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","5"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","6"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","7"
"2016 CBLOL Summer Season","2016-01-16","2016 CBLOL Summer Season","8"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","1"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","2"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","3"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","4"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","5"
"2016 CBLOL Winter Season","2016-05-19","2016 CBLOL Winter Season","6"
"2016 EU LCS Spring Season","2016-01-14","2016 EU LCS Spring Season","1"
"2016 EU LCS Spring Season","2016-01-14","2016 EU LCS Spring Season","2"
"2016 EU LCS Spring Season","2016-01-14","2016 EU LCS Spring Season","3"
"2016 EU LCS Spring Season","2016-01-14","2016 EU LCS Spring Season","4"
"2016 EU LCS Summer Season","2016-06-02","2016 EU LCS Summer Season","1"
"2016 EU LCS Summer Season","2016-06-02","2016 EU LCS Summer Season","2"
"2016 EU LCS Summer Season","2016-06-02","2016 EU LCS Summer Season","3"
"2016 EU LCS Summer Season","2016-06-02","2016 EU LCS Summer Season","4"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","1"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","2"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","3"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","4"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","5"
"2016 GPL Spring Season","2016-04-06","2016 GPL Spring Season","6"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","1"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","2"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","3"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","4"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","5"
"2016 GPL Summer Season","2016-08-08","2016 GPL Summer Season","6"
"2016 LAN Closing Cup","2016-05-30","2016 LAN Closing Cup","1"
"2016 LAN Closing Cup","2016-05-30","2017 LAN Closing Cup","2"
"2016 LAN Closing Cup","2016-05-30","2018 LAN Closing Cup","3"
"2016 LAN Closing Cup","2016-05-30","2019 LAN Closing Cup","4"
"2016 LAN Opening Cup","2016-02-01","2016 LAN Opening Cup","1"
"2016 LAN Opening Cup","2016-02-01","2016 LAN Opening Cup","2"
"2016 LAN Opening Cup","2016-02-01","2016 LAN Opening Cup","3"
"2016 LAN Opening Cup","2016-02-01","2016 LAN Opening Cup","4"
"2016 LAS Closing Cup","2016-05-25","2016 LAS Closing Cup","1"
"2016 LAS Closing Cup","2016-05-25","2016 LAS Closing Cup","2"
"2016 LAS Closing Cup","2016-05-25","2016 LAS Closing Cup","3"
"2016 LAS Closing Cup","2016-05-25","2016 LAS Closing Cup","4"
"2016 LAS Opening Cup","2016-02-04","2016 LAS Opening Cup","1"
"2016 LAS Opening Cup","2016-02-04","2016 LAS Opening Cup","2"
"2016 LAS Opening Cup","2016-02-04","2016 LAS Opening Cup","3"
"2016 LAS Opening Cup","2016-02-04","2016 LAS Opening Cup","4"
"2016 LCK Spring Season","2016-01-13","2016 LCK Spring Season","1"
"2016 LCK Spring Season","2016-01-13","2016 LCK Spring Season","2"
"2016 LCK Spring Season","2016-01-13","2016 LCK Spring Season","3"
"2016 LCK Spring Season","2016-01-13","2016 LCK Spring Season","4"
"2016 LCK Spring Season","2016-01-13","2016 LCK Spring Season","5"
"2016 LCK Summer Season","2016-05-25","2016 LCK Summer Season","1"
"2016 LCK Summer Season","2016-05-25","2016 LCK Summer Season","2"
"2016 LCK Summer Season","2016-05-25","2016 LCK Summer Season","3"
"2016 LCK Summer Season","2016-05-25","2016 LCK Summer Season","4"
"2016 LCK Summer Season","2016-05-25","2016 LCK Summer Season","5"
"2016 LCL Spring Season","2016-01-16","2016 LCL Spring Season","1"
"2016 LCL Spring Season","2016-01-16","2016 LCL Spring Season","2"
"2016 LCL Spring Season","2016-01-16","2016 LCL Spring Season","3"
"2016 LCL Spring Season","2016-01-16","2016 LCL Spring Season","4"
"2016 LCL Summer Season","2016-05-28","2016 LCL Summer Season","1"
"2016 LCL Summer Season","2016-05-28","2016 LCL Summer Season","2"
"2016 LCL Summer Season","2016-05-28","2016 LCL Summer Season","3"
"2016 LCL Summer Season","2016-05-28","2016 LCL Summer Season","4"
"2016 LJL Spring Season","2016-01-17","2016 LJL Spring Season","1"
"2016 LJL Spring Season","2016-01-17","2016 LJL Spring Season","2"
"2016 LJL Spring Season","2016-01-17","2016 LJL Spring Season","3"
"2016 LJL Summer Season","2016-05-25","2016 LJL Summer Season","1"
"2016 LJL Summer Season","2016-05-25","2016 LJL Summer Season","2"
"2016 LJL Summer Season","2016-05-25","2016 LJL Summer Season","3"
"2016 LMS Spring Season","2016-01-14","2016 LMS Spring Season","1"
"2016 LMS Spring Season","2016-01-14","2016 LMS Spring Season","2"
