2016 CBLOL Summer Season,1,15000,INTZ e-Sports
2016 CBLOL Summer Season,2,8000,Keyd Stars
2016 CBLOL Summer Season,3,6000,Operation Kino
2016 CBLOL Summer Season,4,6000,KaBum! e-Sports
2016 CBLOL Summer Season,5,4000,RED Canids
2016 CBLOL Summer Season,6,2500,paiN-Gaming
2016 CBLOL Summer Season,7,1500,CNB e-sports Club
2016 CBLOL Summer Season,8,1500,g3nerationX
2016 CBLOL Winter Season,1,15000,INTZ e-Sports
2016 CBLOL Winter Season,2,8000,CNBe-Sports
2016 CBLOL Winter Season,3,6000,paiN Gaming
2016 CBLOL Winter Season,4,6000,Keyd Stars
2016 CBLOL Winter Season,5,1500,RED Canids
2016 CBLOL Winter Season,6,1500,Big Gods
2016 EU LCS Spring Season,1,50000,G2 Esports
2016 EU LCS Spring Season,2,25000,Origen
2016 EU LCS Spring Season,3,15000,Fnatic
2016 EU LCS Spring Season,4,10000,H2k-Gaming
2016 EU LCS Summer Season,1,50000,G2 Esports
2016 EU LCS Summer Season,2,25000,Splyce
2016 EU LCS Summer Season,3,15000,H2k-Gaming
2016 EU LCS Summer Season,4,10000,Unicorns Of Love
2016 GPL Spring Season,1,,Saigon Jokers
2016 GPL Spring Season,2,,Bangkok Titans
2016 GPL Spring Season,3,,imperium pro team
2016 GPL Spring Season,4,,kuala lumpur hunters
2016 GPL Spring Season,5,,team rigel
2016 GPL Spring Season,6,,kanaya gaming
2016 GPL Summer Season,1,,Saigon Jokers
2016 GPL Summer Season,2,,Bangkok titans
2016 GPL Summer Season,3,,kuala lumpur hunters
2016 GPL Summer Season,4,,vestigal
2016 GPL Summer Season,5,,acclaim empirex
2016 GPL Summer Season,6,,Kanaya gaming
2016 LAN Closing Cup,1,,Lyon Gaming
2016 LAN Opening Cup,1,,Lyon Gaming
2016 LAN Opening Cup,2,,Havoks Gaming
2016 LAN Opening Cup,3,,Revenge Esports
2016 LAN Opening Cup,4,,Galactic Gamers
2016 LAS Closing Cup,1,,Kaos Latin Gamers
2016 LAS Closing Cup,2,,Isurus Gaming
2016 LAS Closing Cup,3,,Hafnet eSports
2016 LAS Closing Cup,4,,Furious Gaming
2016 LAS Opening Cup,1,,Isurus Gaming
2016 LAS Opening Cup,2,,Last Kings
2016 LAS Opening Cup,3,,Furious Gaming
2016 LAS Opening Cup,4,,Rebirth eSports
2016 LCK Spring Season,1,87139,SK Telecom T1
2016 LCK Spring Season,2,52281,ROX Tigers
2016 LCK Spring Season,3,26114,KT Rolster
2016 LCK Spring Season,4,17406,Jin Air Green Wings
2016 LCK Spring Season,5,13054,Afreeca Freecs
2016 LCK Summer Season,1,79148,ROX Tigers
