"7th heaven","LJL","2016 LJL Spring Season","2016-01-17"
"7th heaven","LJL","2016 LJL Summer Season","2016-05-25"
"Abyss Esports","OPL","2016 OPL Split 2","2016-05-23"
"Acclaim EmpireX","GPL","2016 GPL Summer Season","2016-08-08"
"Afreeca Freecs","LCK","2016 LCK Spring Season","2016-01-13"
"Afreeca Freecs","LCK","2016 LCK Summer Season","2016-05-25"
"Albus NoX Luna","LCL","2016 LCL Summer Season","2016-05-28"
"Albus NoX Luna","LCL","2016 World Championship","2016-10-29"
"Apex Gaming","NA","2016 NA LCS Summer Season","2016-06-03"
"Avant Garde","OPL","2016 OPL Split 1","2016-01-18"
"Avant Garde","OPL","2016 OPL Split 2","2016-05-23"
"Bangkok Titans","GPL","2016 GPL Spring Season","2016-04-06"
"Bangkok Titans","GPL","2016 GPL Summer Season","2016-08-08"
"Beşiktaş.OH","TCL","2016 TCL Summer Season","2016-06-11"
"Beşiktaş.OH","TCL","2016 TCL Winter Season","2016-01-16"
"Big Gods","CBLOL","2016 CBLOL Winter Season","2016-05-19"
"BrawL eSports","LAN","2016 LAN Closing Cup","2016-05-30"
"CJ Entus","LCK","2016 LCK Spring Season","2016-01-13"
"CJ Entus","LCK","2016 LCK Summer Season","2016-05-25"
"CNB e-Sports Club","CBLOL","2016 CBLOL Summer Season","2016-01-16"
"CNB e-Sports Club","CBLOL","2016 CBLOL Winter Season","2016-05-19"
"Chiefs Esports Club","OPL","2016 OPL Split 1","2016-01-18"
"Chiefs Esports Club","OPL","2016 OPL Split 2","2016-05-23"
"Cloud9","NA","2016 NA LCS Spring Season","2016-01-16"
"Cloud9","NA","2016 NA LCS Summer Season","2016-06-03"
"Cloud9","NA","2016 World Championship","2016-10-29"
"Cougar E-Sport","LMS","2016 LMS Spring Season","2016-01-14"
"Counter Logic Gaming","NA","2016 NA LCS Spring Season","2016-01-16"
"Counter Logic Gaming","NA","2016 NA LCS Summer Season","2016-06-03"
"Counter Logic Gaming","NA","2016 World Championship","2016-10-29"
"Crew e-Sports Club","TCL","2016 TCL Summer Season","2016-06-11"
"Dark Passage","TCL","2016 TCL Summer Season","2016-06-11"
"Dark Passage","TCL","2016 TCL Winter Season","2016-01-16"
"Dash9 Gaming","LAN","2016 LAN Opening Cup","2016-02-01"
"DetonatioN FocusMe","LJL","2016 LJL Spring Season","2016-01-17"
"DetonatioN FocusMe","LJL","2016 LJL Summer Season","2016-05-25"
"Dire Wolves","OPL","2016 OPL Split 1","2016-01-18"
"Dire Wolves","OPL","2016 OPL Split 2","2016-05-23"
"EDward Gaming","LPL","2016 LPL Spring Season","2016-01-14"
"EDward Gaming","LPL","2016 LPL Summer Season","2016-05-26"
"EDward Gaming","LPL","2016 World Championship","2016-10-29"
