"7th heaven","LJL","Yoshiaki Saito","Hwang Young-sik"
"Abyss Esports","OPL","Nathan Mathews-Mallia","Joshua Slee"
"Acclaim EmpireX","GPL","Robert Lagdamen","Lance Sherwin Andres"
"Afreeca Freecs","LCK","Afreeca","Choi Yeon-sung"
"Albus NoX Luna","LCL","Alexey Kholin","Konstantin Chanchikov"
"Apex Gaming","NA","David Slan","Brandon DiMarco"
"Avant Garde","OPL","Wesley Collier","Charles Wraith"
"Bangkok Titans","GPL","Panthachanok Niamsiri","Duy Thanh"
"Beşiktaş.OH","TCL","Mehmet Sukru Ceken","Salih Kizildag"
"Big Gods","CBLOL","Danilo Salgueiro","Joao Pedro Barbosa"
"BrawL eSports","LAN","Sergio Mendoza","Jose Miguel Melquiades"
"CJ Entus","LCK","CJ Corporation","Chae Woo-cheol"
"CNB e-Sports Club","CBLOL","Cleber Fonseca","Pedro Ramos"
"Chiefs Esports Club","OPL","Frank Li","Tim Clay"
"Cloud9","NA","Jack Etienne","Bok Han-gyu"
"Cougar E-Sport","LMS","Tsang Lin Wa","Yeh Yu-Peng"
"Counter Logic Gaming","NA","George Georgallidis","Tony Gray"
"Crew e-Sports Club","TCL","Kerem Eraslan","Sukru Senturk"
"Dark Passage","TCL","Ertug Okcuoglu","Marcus Blom"
"Dash9 Gaming","LAN","Jack Yang Huang","Gerson Castano"
"DetonatioN FocusMe","LJL","Nobuyuki Umezaki","Kentaro Hanaoka"
"Dire Wolves","OPL","Nathan Mott","Curtis Morgan"
"EDward Gaming","LPL","Chu Ai-De","Jung Min-sung"
"ESC Ever","LCK","esportsconnected","Kim Ga-ram"
"Echo Fox","NA","Ulrich Alexander Fox","Nick Smith"
"Elements","EU","Jacob Toft-Andersen","Patrick Funke"
"Energy Pacemaker.All","LPL","Qiu Yu-Fei","He Bin"
"FC Schalke 04","EU","Moritz Beckers-Schwarz","Michael Archer"
"Flash Wolves","LMS","Pi Ling-Li","Chen Ju-Chih"
"Fnatic","EU","Samuel Mathews","Nicholas Korsgaard"
"Furious Gaming","LAS","Gonzalo Garcia","Otavio Rodrigues"
"G2 Esports","EU","Carlos Rodriguez Santiago","Joey Steltenpool"
"Galactic Gamers","LAN","Sergio Salas","Luis Lopez"
"Gambit Esports","LCL","Konstantin Pikiner","Maxim Ogorodnikov"
"Game Talents","LPL","Lee Hyung-jun","Lee Hyung-jun"
"Giants Gaming","EU","Jose Ramon Diaz","Andre Guilhoto"
"H2k-Gaming","EU","Susan Tully","Neil Hammad"
"HWA Gaming","TCL","Kudret Coruk","Ahmet Can Arslan"
"Hafnet eSports","LAS","Francisco Robin","Iasi Salomon"
"Hard Random","LCL","Yuri Markov","Alexey Kholin"
"Havoks Gaming","LAN","Raul Villarreal","Juan Morales"
"Hellions e-Sports Club","OPL","Michael Choo","Baillie Ross"
"Hong Kong Esports","LMS","Derek Cheung","Jordan Corby"
"Hyper Youth Gaming","LPL","Mao Xiao-Zhou","Cui Yi"
"I May","LPL","Yu Yi","Son Dae-young"
"INTZ e-Sports","CBLOL","Vinicius Dutra","Lucas Pierre"
"Immortals","NA","Clinton Foy","Robert Yip"
"Imperium Pro Team","GPL","Les Ronquillo","John Ryan IV Subagan"
"Infernum Gaming","OPL","Lawrence David","Evan Evangelides"
"Invictus Gaming","LPL","Wang Si-Cong","Xiao Qiang"
"Isurus Gaming","LAS","Facundo Calabroo","Markus Leuemberger"
"J Team","LMS","Chou Chieh-Lun","Chen Kuang-Feng"
"Jin Air Green Wings","LCK","Jin Air","Han Sang-yong"
"Just Toys Havoks","LAN","Raul Villarreal","Juan Morales"
"KT Rolster","LCK","KT","Lee Ji-hoon"
"KaBuM! e-Sports","CBLOL","Guilherme Fonte","Peter Zhang"
"Kanaya Gaming","GPL","Yehezkiel Patric",
"Kaos Latin Gamers","LAS","Jose Martinez","Misael di Ciancia"
"Keyd Stars","CBLOL","Edu Kim","Lorenzo Jung"
"Kongdoo Monster","LCK","Kongdoo","Jang Min-chul"
"Kuala Lumpur Hunters","GPL","Leon Lee","Luqman Abdullah"
"LGD Gaming","LPL","Pan Jie","Lee Gwan-hyung"
"Last Kings","LAS","Matias Flores","Daniel Fernandez"
"Legacy Esports","OPL","Michael Carmody","Aaron Asher"
"Longzhu Gaming","LCK","Longzhu","Kang Dong-hoon"
"Lyon Gaming","LAN","Carlos Gibran","Rodrigo del Castillo"
"MVP","LCK","Hot6ix","Kwon Jae-hwan"
"Machi E-Sports","LMS","Jeffrey Huang","Shu Kuan-Chih"
"Masters 3","LPL","Zhou Hao","Lee Hyeong-jun"
"Midnight Sun Esports","LMS","Ethan Liu","Alex Sung"
"NRG Esports","NA","Mark Mastrov","Tadayoshi Littleton"
"Natus Vincere.CIS","LCL","Alexander Kokhanovskiy","Kristoffer Rene Odland"
"Newbee","LPL","Tong Xin","Choi Myeong-won"
"NumberOne Esports","TCL","Samet Yavuz","Hakan Islek"
"Oh My God","LPL","Peng Hai-Tao","Luo Sheng"
"Operation Kino","CBLOL","Marcal Binatto","Gabriel Garcia"
"Origen","EU","Enrique Cedeno Martinez","James MacCormack"
"Phoenix1","NA","Michael Moore","Kim Sang-chul"
"Qiao Gu Reapers","LPL","Li Lin-Ke","Choi Myeong-won"
"RED Canids","CBLOL","Felippe Corradini","Ram Djemal"
"ROX Tigers","LCK","YY","Kang Hyun-jong"
"Rampage","LJL","Hiroki Nakamura","Kim Dong-hun"
"Rascal Jester","LJL","Takayuki Okawa","Yosiaki Koka"
"Rebirth eSports","LAS","Eduardo Maqueira","Alejandro Lopez"
"Renegades","NA","Chris Badawi","David Tu"
"Revenge eSports","LAN","Pedro Valdivia","Diego Lizcano"
"RoX","LCL","Igor Utkin","Aleksey Lebedev"
"Royal Never Give Up","LPL","Huang Cheng","Huang Ting-Hsiang"
"SBENU Sonicboom","LCK","ITENJOY","Park Jae-seok"
"SCARZ","LJL","Yoichi Tomori","Tatsumi Shiraki"
"SK Telecom T1","LCK","SK Telecom","Choi Byoung-hoon"
"Saigon Jokers","GPL","Lee In-cheol","Heo Yeong-cheol"
"Saint Gaming","LPL","Mao Xiao-Zhou","Xu Jiang-Jun"
"Samsung Galaxy","LCK","Samsung","Choi Woo-beom"
"Sin Gaming","OPL","Christian Dirk","Benjamin Encel"
"Snake Esports","LPL","Cao Yu","Chen Lin-Jun"
"Splyce","EU","Marty Strenczewilk","Fayan Pertijs"
"SuperMassive eSports","TCL","Hakan Bas","Daniel Hume"
"Tainted Minds","OPL","Nick Bobir","Jonny Weatherly"
"Taipei Assassins","LMS","Liu Chia-Chu","Sim Sung-soo"
"Team AURORA","TCL","Asim Dogan Dirim","Son Seung-ik"
"Team BlackEye","LJL","Matthew Genshiro Dahte","Choi Hyun"
"Team Differential","LCL","Boris Sherbakov","Daniil Yakovlev"
"Team Dignitas","NA","Greg Richardson","Park Jae-seok"
"Team Empire","LCL","Alexander Solomonov","Filip Romanov"
"Team EnVyUs","NA","Skyler Johnson","Kim Dong Hwan"
"Team Impulse","NA","Lucas Wen","Jason Pan"
"Team Just","LCL","Nikita Morozov","Dmitrii Korovushkin"
