Balls,An Le,Top,USA
Rush,Lee Yoon-jae (이윤재),Jungle,South Korea
Jensen,Nicolaj Jensen,Mid,Denmark
Sneaky,Zachary Scuderi,AD,USA
Bunny FuFuu,Michael Kurylo,Support,USA
Hai,Hai Du Lam,Support,USA
LemonNation,Daerek Hart,Coach,USA
Darshan,Darshan Upadhyaya,Top,Canada
Xmithie,Jake Puchero,Jungle,Philippines
Huhi,Choi Jae-hyun (최재현),Mid,France
Stixxay,Trevor Hayes,AD,USA
Aphromoo,Zaqueri Black,Support,USA
Zikzlol,Tony Gray,Coach,USA
Kfo,Park Jeong-hun (박정훈),Top,South Korea
Solo (Colin Earnest),Colin Earnest,Top,USA
Hard,Anthony Barkhovtsev,Jungle,Canada
Grigne,Jonathan Armao,Jungle,USA
Froggen,Henrik Hansen,Mid,Denmark
Goldenglue,Greyson Gilmer,Mid,USA
KEITH,Yuri Jew,AD,USA
LOD,Benjamin deMunck,AD,Canada
BIG,Terry Chuong,Support,USA
Stunt,William Chen,Support,USA
Cop,David Roberson,Coach,USA
Huni,Heo Seung-hoon (허승훈),Top,South Korea
Reignover,Kim Yeu-jin (김의진),Jungle,South Korea
Pobelter,Eugene Park,Mid,USA
WildTurtle,Jason Tran,AD,Canada
Adrian,Adrian Ma,Support,USA
Dylan,Dylan Falco,Coach,Canada
Cris,Cristian Rosales,Top,Mexico
Impact,Jung Eon-yeong (정언영),Top,South Korea
Shrimp,Lee Byeong-hoon (이병훈),Jungle,South Korea
Moon (Galen Holgate),Galen Holgate,Jungle,USA
GBM,Lee Chang-seok (이창석),Mid,South Korea
Altec,Johnny Ru,AD,Canada
KonKwon,Kevin Kwon (권구혁),Support,South Korea
Hermit,Tadayoshi Littleton,Coach,USA
RF Legendary,Oleksii Kuziuta,Top,Ukraine
Flaresz,Cuong Ta,Top,USA
Seraph,Shin Woo-yeong (신우영),Top,South Korea
Crumbz,Alberto Rengifo,Jungle,Venezuela
Alex Ich,Alexey Ichetovkin,Mid,Russia
Ninja,Noh Geon-woo (노건우),Mid,South Korea
Freeze,Aleš Kněžínek,AD,Czech Republic
Ohq,Oh Gyu-min (오규민),AD,South Korea
Remi,Maria Creveling,Support,USA
Hakuho,Nickolas Surgent,Support,USA
Hermes (David Tu),David Tu,Coach,USA
Smittyj,Lennart Warkus,Top,Germany
BillyBoss,Billy Yu,Top,USA
Kirei,Thomas Yuen,Jungle,Netherlands
Shiphtur,Danny Le,Mid,Canada
Apollo (Apollo Price),Apollo Price,AD,USA
KiWiKiD,Alan Nguyen,Support,USA
Raz,Barento Mohammed,Coach,Canada
InnerFlame,Joe Elouassi,Coach,United Kingdom
Feng (Wang Xiao-Feng),Wang Xiao-Feng (王晓峰),Top,China
Beibei,Meng Zhang,Jungle,China
Procxin,Kim Se-young (김세영),Jungle,South Korea
Gate,Austin Yu,Mid,China
Pirean,Choi Jun-sik (최준식),Mid,South Korea
Mash,Brandon Phan,AD,Canada
Ken,Kenneth Tang,Support,USA
Jason,Jun-yao Pan,Coach,China
Lourlo,Samson Jackson,Top,USA
IWDominate,Christian Rivera,Jungle,USA
